station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km,station_name_roman,cluster_number
1130511,1130511,南浦和,,,11305,11,336-0017,さいたま市南区南浦和２丁目,139.669125,35.847648,0000-00-00,0000-00-00,0,1130511,753.0,2183.0,5.798140770252324,684.0,3.1102257636122177,"{0: 0, 1: 69, 2: 0, 3: 467, 4: 213, 5: 4}","{0: 0.0, 1: 0.09163346613545817, 2: 0.0, 3: 0.6201859229747676, 4: 0.28286852589641437, 5: 0.005312084993359893}",130577.6520000002,59.81569033440229,67154.03100000005,60.01253887399468,1119.0,300.0980402593929,272.5990166499665,52039.97007552863,26763.337448364586,1.0154781798011046,0.0004580852038479,510.0,203.25365276532588,,3
1131708,1131708,東飯能,,,11317,11,357-0034,飯能市東町１丁目,139.325965,35.852928,0000-00-00,0000-00-00,0,1131708,778.0,2150.0,5.526992287917738,685.0,2.9318766066838045,"{0: 0, 1: 93, 2: 4, 3: 545, 4: 135, 5: 1}","{0: 0.0, 1: 0.11953727506426735, 2: 0.005141388174807198, 3: 0.7005141388174807, 4: 0.17352185089974292, 5: 0.0012853470437017994}",119950.87699999983,55.79110558139528,61886.08999999999,55.95487341772151,1106.0,316.97145266858496,279.0815489434199,48870.18474493664,25213.52679598816,1.0283331828075524,0.0004651162790697,468.0,190.67177358470147,,3
1131904,1131904,浦和,,,11319,11,330-0063,さいたま市浦和区高砂１丁目,139.657109,35.858496,0000-00-00,0000-00-00,0,1131904,751.0,2136.0,5.688415446071904,701.0,3.1025299600532623,"{0: 0, 1: 50, 2: 2, 3: 527, 4: 166, 5: 5, 6: 1}","{0: 0.0, 1: 0.06657789613848203, 2: 0.002663115845539281, 3: 0.7017310252996005, 4: 0.2210386151797603, 5: 0.006657789613848202, 6: 0.0013315579227696406}",127625.91600000043,59.74996067415751,66424.46899999995,59.46684780662485,1117.0,303.3294879526274,283.13444880797846,51548.20738983378,26828.89503235041,1.01755500865957,0.0004681647940074,492.0,198.7191851833458,,3
1131908,1131908,東大宮,,,11319,11,337-0051,さいたま市見沼区東大宮４丁目,139.640291,35.948751,0000-00-00,0000-00-00,0,1131908,756.0,2230.0,5.8994708994709,712.0,3.1613756613756614,"{0: 0, 1: 44, 2: 0, 3: 502, 4: 210}","{0: 0.0, 1: 0.0582010582010582, 2: 0.0, 3: 0.6640211640211641, 4: 0.2777777777777778}",132393.8250000002,59.36942825112116,68435.829,59.71712827225131,1146.0,305.46811979059095,287.6895519720909,53494.83173893464,27652.068797540207,1.0279956067239506,0.0,509.0,205.6657049912841,,3
1131909,1131909,蓮田,,,11319,11,349-0123,蓮田市本町,139.653016,35.981272,0000-00-00,0000-00-00,0,1131909,1016.0,2713.0,5.340551181102362,846.0,2.815944881889764,"{0: 0, 1: 170, 2: 1, 3: 691, 4: 154}","{0: 0.0, 1: 0.1673228346456693, 2: 0.000984251968503937, 3: 0.6801181102362205, 4: 0.1515748031496063}",138238.46800000014,50.9540980464431,70921.15300000012,51.42940754169697,1379.0,412.3114740729477,343.32234947412763,56099.71113648234,28781.107417699903,1.0295820081055278,0.0007371913011426,523.0,212.2430127363697,,3
1132304,1131904,浦和,,,11323,11,330-0063,さいたま市浦和区高砂１丁目,139.657109,35.858496,0000-00-00,0000-00-00,0,1132304,751.0,2136.0,5.688415446071904,701.0,3.1025299600532623,"{0: 0, 1: 50, 2: 2, 3: 527, 4: 166, 5: 5, 6: 1}","{0: 0.0, 1: 0.06657789613848203, 2: 0.002663115845539281, 3: 0.7017310252996005, 4: 0.2210386151797603, 5: 0.006657789613848202, 6: 0.0013315579227696406}",127625.91600000043,59.74996067415751,66424.46899999995,59.46684780662485,1117.0,303.3294879526274,283.13444880797846,51548.20738983378,26828.89503235041,1.01755500865957,0.0004681647940074,492.0,198.7191851833458,,3
1132307,1132307,宮原,,,11323,11,331-0812,さいたま市北区宮原町３丁目,139.609455,35.940256,0000-00-00,0000-00-00,0,1132307,761.0,2209.0,5.805519053876479,679.0,3.1182654402102497,"{0: 0, 1: 82, 2: 1, 3: 426, 4: 249, 5: 3}","{0: 0.0, 1: 0.10775295663600526, 2: 0.001314060446780552, 3: 0.5597897503285151, 4: 0.3272010512483574, 5: 0.003942181340341655}",131028.321,59.31567270258035,67863.69100000008,59.634174868189874,1138.0,305.778919714597,272.8303370383855,52648.74960236195,27268.44431251675,1.009189231396611,0.0,513.0,206.12954771825,,3
1132308,1132308,上尾,,,11323,11,362-0075,上尾市柏座１丁目,139.588434,35.973522,0000-00-00,0000-00-00,0,1132308,819.0,2229.0,5.443223443223443,681.0,2.894993894993895,"{0: 0, 1: 138, 2: 0, 3: 495, 4: 182, 5: 4}","{0: 0.0, 1: 0.1684981684981685, 2: 0.0, 3: 0.6043956043956044, 4: 0.2222222222222222, 5: 0.004884004884004884}",126902.08400000038,56.93229430237792,64645.43699999998,57.25902302922939,1129.0,326.90071210782054,271.8185408369057,50652.48061973941,25802.97849795024,1.0288756363986271,0.0,437.0,174.42687569123024,,3
1132309,1132309,北上尾,,,11323,11,362-0016,上尾市原新町,139.577223,35.985632,0000-00-00,0000-00-00,0,1132309,823.0,2372.0,5.764277035236938,753.0,3.08262454434994,"{0: 0, 1: 70, 2: 0, 3: 545, 4: 208}","{0: 0.0, 1: 0.0850546780072904, 2: 0.0, 3: 0.6622114216281896, 4: 0.25273390036452004}",131721.02200000032,55.53162816188883,67186.68999999993,55.94228975853449,1201.0,326.3506223631295,298.59297526055474,52232.366352378594,26642.063300144146,1.0280693309656777,0.0,542.0,214.92349613707924,,3
1132310,1132310,桶川,,,11323,11,363-0015,桶川市南１丁目,139.564274,35.998375,0000-00-00,0000-00-00,0,1132310,956.0,2357.0,4.930962343096234,772.0,2.7364016736401675,"{0: 0, 1: 184, 2: 3, 3: 651, 4: 117, 5: 1}","{0: 0.0, 1: 0.19246861924686193, 2: 0.0031380753138075313, 3: 0.6809623430962343, 4: 0.12238493723849372, 5: 0.0010460251046025104}",120333.84799999968,51.05381756470076,65229.05399999994,51.933960191082754,1256.0,384.3995485134809,310.4146981719741,48385.22682226958,26228.053250587283,1.037457673053092,0.0008485362749257,439.0,176.51820271696457,,3
