station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,station_name_roman,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportions,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,clean_intersection_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,clean_intersection_density_km
1141501,1141501,米原,,,11415,25,521-0012,米原市米原,136.289992,35.314657,0000-00-00,0000-00-00,0,1141501,yonehara,261.0,758.0,5.8084291187739465,59666.12099999999,78.71519920844327,3.072796934865901,"{0: 0, 1: 14, 2: 1, 3: 198, 4: 48}","{0: 0.0, 1: 0.05363984674329502, 2: 0.0038314176245210726, 3: 0.7586206896551724, 4: 0.1839080459770115}",247.0,30448.234,387.0,78.6776072351421,1.0747036332339626,0.0,184.0,150.13930206432326,142.0858529114477,34322.719401630115,17515.23602241838,105.84533172350758
1141502,1141502,坂田,,,11415,25,521-0062,米原市宇賀野,136.287743,35.335777,0000-00-00,0000-00-00,0,1141502,sakata,199.0,542.0,5.447236180904523,58309.48900000001,107.58208302583029,3.14070351758794,"{0: 0, 1: 12, 2: 0, 3: 138, 4: 47, 5: 1, 6: 1}","{0: 0.0, 1: 0.06030150753768844, 2: 0.0, 3: 0.6934673366834171, 4: 0.23618090452261306, 5: 0.005025125628140704, 6: 0.005025125628140704}",187.0,31365.457999999977,289.0,108.53099653979233,1.0366593593229323,0.0034602076124567,146.0,90.80719865413474,85.33138768001605,26607.64498012103,14312.60992705486,66.62236685177724
1141503,1141503,田村,,,11415,25,526-0829,長浜市田村町,136.281813,35.356307,0000-00-00,0000-00-00,0,1141503,tamura,111.0,312.0,5.621621621621622,35040.022000000026,112.3077628205129,3.045045045045045,"{0: 0, 1: 10, 2: 0, 3: 77, 4: 23, 5: 1}","{0: 0.0, 1: 0.09009009009009009, 2: 0.0, 3: 0.6936936936936937, 4: 0.2072072072072072, 5: 0.009009009009009009}",101.0,17636.652000000013,157.0,112.33536305732493,1.0530731653865972,0.0,78.0,73.05608676101616,66.47445732308677,23062.04403008934,11607.790798971622,51.33670961584919
1141504,1141504,長浜,,,11415,25,526-0057,長浜市北船町,136.264901,35.378828,0000-00-00,0000-00-00,0,1141504,nagahama,323.0,975.0,6.037151702786378,75642.35399999996,77.5819015384615,3.1671826625387,"{0: 0, 1: 17, 2: 0, 3: 218, 4: 88}","{0: 0.0, 1: 0.05263157894736842, 2: 0.0, 3: 0.6749226006191951, 4: 0.2724458204334365}",306.0,38143.26200000004,491.0,77.684851323829,1.0645896618670263,0.0,226.0,169.4497374388293,160.53133020520667,39682.90100481415,20010.42021969189,118.5623549881592
1141505,1141505,虎姫,,,11415,25,529-0144,滋賀県長浜市大寺町細田1043,136.257385,35.424539,0000-00-00,0000-00-00,0,1141505,torahime,203.0,568.0,5.596059113300493,54382.48399999993,95.7438098591548,3.064039408866995,"{0: 0, 1: 18, 2: 0, 3: 136, 4: 49}","{0: 0.0, 1: 0.08866995073891626, 2: 0.0, 3: 0.6699507389162561, 4: 0.2413793103448276}",185.0,27191.24199999999,284.0,95.7438098591549,1.0354495651817668,0.0,133.0,85.4609934535791,77.8831713739514,22894.488222233325,11447.244111116674,55.99168536613804
1141506,1141506,河毛,,,11415,25,529-0317,滋賀県長浜市湖北町山脇560,136.249519,35.448425,0000-00-00,0000-00-00,0,1141506,kawake,142.0,356.0,5.014084507042254,38252.501,107.450845505618,2.7464788732394365,"{0: 0, 1: 29, 2: 0, 3: 91, 4: 22}","{0: 0.0, 1: 0.20422535211267606, 2: 0.0, 3: 0.6408450704225352, 4: 0.15492957746478872}",113.0,19640.209000000006,179.0,109.72183798882683,1.091129639022505,0.0,92.0,75.71515393277426,60.25219996058796,20396.436630483106,10472.263716245485,49.05488846348754
1141507,1141507,高月,,,11415,25,529-0241,滋賀県長浜市高月町落川33-26,136.237716,35.470337,0000-00-00,0000-00-00,0,1141507,takagatsu,178.0,479.0,5.382022471910112,51246.05800000001,106.98550730688936,2.8258426966292136,"{0: 0, 1: 30, 2: 2, 3: 116, 4: 29, 5: 1}","{0: 0.0, 1: 0.16853932584269662, 2: 0.011235955056179775, 3: 0.651685393258427, 4: 0.16292134831460675, 5: 0.0056179775280898875}",148.0,25770.34599999998,241.0,106.93089626556008,1.0345308489164806,0.0,119.0,95.7094689001048,79.57865953491859,27554.679743842516,13856.55128669628,63.98554381523859
1141508,1141508,木ノ本,,,11415,25,529-0425,滋賀県長浜市木之本町木之本1543,136.221706,35.505933,0000-00-00,0000-00-00,0,1141508,kinohon,243.0,697.0,5.7366255144032925,60040.42199999996,86.14120803443323,3.1069958847736627,"{0: 0, 1: 12, 2: 0, 3: 182, 4: 48, 5: 1}","{0: 0.0, 1: 0.04938271604938271, 2: 0.0, 3: 0.7489711934156379, 4: 0.19753086419753085, 5: 0.00411522633744856}",231.0,30966.62299999998,355.0,87.22992394366192,1.057388220437365,0.0,143.0,126.34569970521824,120.10640589261487,31217.486124224582,16100.821606760092,74.35158460019017
1141509,1141509,余呉,,,11415,25,529-0521,滋賀県長浜市余呉町下余呉1727,136.197591,35.53382,0000-00-00,0000-00-00,0,1141509,yokure,33.0,86.0,5.212121212121212,17861.147999999997,207.68776744186044,2.9696969696969697,"{0: 0, 1: 3, 2: 0, 3: 25, 4: 5}","{0: 0.0, 1: 0.09090909090909091, 2: 0.0, 3: 0.7575757575757576, 4: 0.15151515151515152}",30.0,8930.573999999999,43.0,207.68776744186044,1.0488589588900137,0.0,30.0,26.3922302570808,23.99293659734618,14284.71305066055,7142.356525330275,23.99293659734618
1141510,1141510,近江塩津,,,11415,25,529-0706,滋賀県長浜市西浅井町余245,136.151236,35.53978,0000-00-00,0000-00-00,0,1141510,oumishiotsu,34.0,78.0,4.588235294117647,12420.593999999996,159.23838461538455,2.4705882352941178,"{0: 0, 1: 11, 2: 0, 3: 19, 4: 4}","{0: 0.0, 1: 0.3235294117647059, 2: 0.0, 3: 0.5588235294117647, 4: 0.11764705882352941}",23.0,6210.2970000000005,39.0,159.23838461538463,1.0935431065520549,0.0,21.0,49.898185485850426,33.75465488748705,18228.385389895317,9114.19269494766,30.81946750596644
