cluster_number,n,m,k_avg,intersection_count,streets_per_node_avg,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km
0,433.8333333333333,1181.832,5.43322892067475,389.81333333333333,2.981474059809317,81715.14655999995,73.80084988648693,43271.07834666664,74.62051953718628,618.824,192.3245029018895,172.65510942493182,36497.795817694234,19316.533067962493,1.0548812251634951,0.0015095086074014886,280.16133333333335,124.25780716681591
1,189.31229235880397,423.6777408637874,4.511976225690158,167.3986710963455,2.927473112651257,36673.326993355506,115.33178119943571,23639.985478405313,117.33187990346347,268.0299003322259,107.33131904345807,93.8544157173295,22376.849028591303,14448.51050440037,1.075704646259282,0.0008255798065762171,110.19269102990033,63.12602924309275
2,841.8557046979865,2206.761744966443,5.2586972919192005,740.3724832214765,2.950632194779343,118509.70506543624,54.54372840219541,64643.80426510063,55.07607863955103,1193.1761744966443,344.85545534627795,303.34439180016113,48606.20973926664,26509.7643680501,1.0389727549102665,0.0004932640278637614,450.33557046979865,184.56472857410208
3,710.5442708333334,1612.2890625,4.575808684416654,645.2447916666666,3.045284200273553,91457.92783072918,58.97008592500011,60488.53397135422,60.405786385977876,1047.6901041666667,300.0787756836981,271.97009316172813,39166.55964761424,25763.183056624606,1.032976801657091,0.0002801605566519572,376.78125,158.9202210869697
