station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,station_name_roman,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km
1131201,1130101,東京,,,11312,13,100-0005,東京都千代田区丸の内一丁目,139.76610300000002,35.681391,0000-00-00,0000-00-00,0,1131201,toukyou,427,800,3.747072599531616,420,3.4355971896955504,"{0: 0, 1: 7, 2: 4, 3: 228, 4: 174, 5: 12, 6: 2}","{0: 0.0, 1: 0.01639344262295082, 2: 0.00936768149882904, 3: 0.5339578454332553, 4: 0.40749414519906324, 5: 0.02810304449648712, 6: 0.00468384074941452}",59421.89600000008,74.27737000000009,50774.28500000002,74.66806617647062,680,189.2118078519954,186.10997493638888,26330.97041722076,22499.04978276921,1.0140351555879907,0.00125,239,105.90543811856416
1131202,1130223,神田,,,11312,13,101-0044,東京都千代田区鍛冶町二丁目13-1,139.77064099999998,35.691173,0000-00-00,0000-00-00,0,1131202,kanda,972,1945,4.002057613168724,959,3.353909465020576,"{0: 0, 1: 13, 2: 1, 3: 603, 4: 341, 5: 12, 6: 2}","{0: 0.0, 1: 0.013374485596707819, 2: 0.00102880658436214, 3: 0.6203703703703703, 4: 0.3508230452674897, 5: 0.012345679012345678, 6: 0.00205761316872428}",104898.95099999996,53.93262262210797,85859.92999999996,54.548875476493,1574,403.9864540738181,398.5833430625427,43598.51363225636,35685.44101617924,1.0102154278263882,0.0005141388174807,511,212.38382513551545
1131203,1131203,御茶ノ水,,,11312,13,101-0062,千代田区神田駿河台２丁目,139.764955,35.699605,0000-00-00,0000-00-00,0,1131203,ochanomizu,1110,2414,4.3495495495495495,1082,3.2612612612612613,"{0: 0, 1: 28, 2: 0, 3: 745, 4: 329, 5: 7, 6: 1}","{0: 0.0, 1: 0.025225225225225224, 2: 0.0, 3: 0.6711711711711712, 4: 0.2963963963963964, 5: 0.006306306306306306, 6: 0.0009009009009009009}",111519.84600000003,46.19711930405967,81437.28800000022,46.66893295128953,1745,441.5399402983769,430.4019958584179,44360.78031074253,32394.42818160525,1.0084522156609377,0.0,543,215.996565389206
1131207,1131102,四ツ谷,,,11312,13,160-0004,東京都新宿区四谷一丁目,139.73064399999998,35.686041,0000-00-00,0000-00-00,0,1131207,shitsutani,496,1111,4.479838709677419,416,2.8286290322580645,"{0: 0, 1: 80, 2: 1, 3: 340, 4: 74, 5: 1}","{0: 0.0, 1: 0.16129032258064516, 2: 0.0020161290322580645, 3: 0.6854838709677419, 4: 0.14919354838709678, 5: 0.0020161290322580645}",70832.30999999985,63.755454545454405,44347.93100000002,66.0922965722802,671,202.6944347175244,170.00178395663335,28946.199667714554,18123.14275188867,1.041690008483968,0.0,257,105.02514056936243
1131211,1130208,新宿,,,11312,13,160-0022,東京都新宿区新宿三丁目38-1,139.70046399999998,35.689729,0000-00-00,0000-00-00,0,1131211,shinjuku,720,1628,4.522222222222221,687,3.1638888888888888,"{0: 0, 1: 33, 2: 2, 3: 513, 4: 162, 5: 7, 6: 2, 7: 1}","{0: 0.0, 1: 0.04583333333333333, 2: 0.002777777777777778, 3: 0.7125, 4: 0.225, 5: 0.009722222222222222, 6: 0.002777777777777778, 7: 0.001388888888888889}",87927.93800000001,54.00978992628993,60552.398999999925,55.400182067703504,1093,295.4996708207748,281.95593590815594,36087.05102076318,24851.6860720947,1.0229402465596449,0.0,396,162.52481895142608
1131214,1131214,中野,,,11312,13,164-0001,中野区中野５丁目,139.66583500000002,35.705765,0000-00-00,0000-00-00,0,1131214,nakano,1151,2786,4.841007819287576,955,2.784535186794092,"{0: 0, 1: 196, 2: 8, 3: 797, 4: 148, 5: 2}","{0: 0.0, 1: 0.17028670721112077, 2: 0.0069504778453518675, 3: 0.6924413553431799, 4: 0.12858384013900956, 5: 0.0017376194613379669}",127392.24899999994,45.72586109117013,70348.56999999999,45.68088961038961,1540,458.0931271406063,380.0859569237872,50701.57577574697,27998.433033162328,1.0319889123325805,0.0,523,208.1517858336552
1131215,1131215,高円寺,,,11312,13,166-0003,杉並区高円寺南４丁目,139.649664,35.705326,0000-00-00,0000-00-00,0,1131215,kouenji,1333,3361,5.042760690172544,1178,2.9152288072018004,"{0: 0, 1: 155, 2: 8, 3: 968, 4: 199, 5: 3}","{0: 0.0, 1: 0.11627906976744186, 2: 0.006001500375093774, 3: 0.7261815453863466, 4: 0.14928732183045762, 5: 0.002250562640660165}",143887.1389999999,42.81081196072595,80729.36000000003,42.96400212879193,1879,529.4717883809532,467.905301359912,57152.42371444018,32065.955449399706,1.0200206967412109,0.0,608,241.4995103793095
1131216,1131216,阿佐ケ谷,,,11312,13,166-0004,東京都杉並区阿佐谷南三丁目36-3,139.635868,35.704818,0000-00-00,0000-00-00,0,1131216,asaketani,1295,3435,5.305019305019305,1150,2.905019305019305,"{0: 0, 1: 145, 2: 4, 3: 979, 4: 163, 5: 4}","{0: 0.0, 1: 0.11196911196911197, 2: 0.003088803088803089, 3: 0.7559845559845559, 4: 0.12586872586872586, 5: 0.003088803088803089}",151299.80100000033,44.04652139738001,80149.99800000005,44.13546145374453,1816,512.251187448771,454.894876885009,59848.26465097522,31704.19432395108,1.02751283788682,0.0,571,225.86519539246967
1131217,1131217,荻窪,,,11312,13,167-0043,杉並区上荻１丁目,139.620109,35.70452299999999,0000-00-00,0000-00-00,0,1131217,ogikubo,1173,2810,4.791133844842284,1005,2.8823529411764706,"{0: 0, 1: 168, 2: 9, 3: 796, 4: 193, 5: 7}","{0: 0.0, 1: 0.1432225063938619, 2: 0.0076726342710997444, 3: 0.6786018755328218, 4: 0.16453537936913895, 5: 0.005967604433077579}",132926.7729999997,47.30490142348744,78744.31200000005,48.250191176470615,1632,468.00671588309183,400.9776210251553,53035.483789145,31417.618801017525,1.0311147285603004,0.0,567,226.22319514553536
1131218,1131218,西荻窪,,,11312,13,167-0053,杉並区西荻南３丁目,139.59936100000002,35.703842,0000-00-00,0000-00-00,0,1131218,nishiogikubo,757,1982,5.236459709379128,712,3.155878467635404,"{0: 0, 1: 45, 2: 4, 3: 496, 4: 212}","{0: 0.0, 1: 0.059445178335535004, 2: 0.005284015852047556, 3: 0.655217965653897, 4: 0.2800528401585205}",117507.52699999974,59.28734964682126,67231.95399999991,58.820607174103145,1143,306.7183600821088,288.48543246824505,47611.24964166981,27240.78556934709,1.0133677556235263,0.0,498,201.77773226009276
